	Code_Ligne	Variante	succession	stop_id	descr_fr	descr_nl	alpha_fr	alpha_nl	coord_x	coord_y	mode	numero_lig	terminus	geometry
2987	001m	1	1	8733	GARE DE L'OUEST	WESTSTATION	Gare de l'Ouest	Weststation	146633.5	170956.4	M	1	STOCKEL	POINT (146633.5 170956.4)
2988	001m	1	2	8742	BEEKKANT	BEEKKANT	Beekkant	Beekkant	146776.5	171444.3	M	1	STOCKEL	POINT (146776.5 171444.3)
2989	001m	1	3	8292	ETANGS NOIRS	ZWARTE VIJVERS	Étangs Noirs	Zwarte Vijvers	147492.7	171859.9	M	1	STOCKEL	POINT (147492.7 171859.9)
2990	001m	1	4	8282	COMTE DE FLANDRE	GRAAF VAN VLAAND.	Comte de Flandre	Graaf van Vlaanderen	148013.6	171590.4	M	1	STOCKEL	POINT (148013.6 171590.4)
2991	001m	1	5	8272	SAINTE-CATHERINE	SINT-KATELIJNE	Sainte-Catherine	Sint-Katelijne	148539.5	171278.2	M	1	STOCKEL	POINT (148539.5 171278.2)
2992	001m	1	6	8012	DE BROUCKERE	DE BROUCKERE	De Brouckère	De Brouckère	148854.5	171046.9	M	1	STOCKEL	POINT (148854.5 171046.9)
2993	001m	1	7	8022	GARE CENTRALE	CENTRAAL STATION	Gare Centrale	Centraal Station	149297.4	170660.6	M	1	STOCKEL	POINT (149297.4 170660.6)
2994	001m	1	8	8032	PARC	PARK	Parc	Park	149593.4	170587.0	M	1	STOCKEL	POINT (149593.4 170587)
2995	001m	1	9	8042	ARTS-LOI	KUNST-WET	Arts-Loi	Kunst-Wet	150061.1	170547.6	M	1	STOCKEL	POINT (150061.1 170547.6)
2996	001m	1	10	8052	MAELBEEK	MAALBEEK	Maelbeek	Maalbeek	150622.3	170360.8	M	1	STOCKEL	POINT (150622.3 170360.8)
2997	001m	1	11	8062	SCHUMAN	SCHUMAN	Schuman	Schuman	150921.0	170261.0	M	1	STOCKEL	POINT (150921 170261)
2998	001m	1	12	8072	MERODE	MERODE	Merode	Merode	152079.9	169884.0	M	1	STOCKEL	POINT (152079.9 169884)
2999	001m	1	13	8082	MONTGOMERY	MONTGOMERY	Montgomery	Montgomery	152761.4	169711.0	M	1	STOCKEL	POINT (152761.4 169711)
3000	001m	1	14	8092	JOSEPH.-CHARLOTTE	JOSEPH.-CHARLOTTE	Joséphine-Charlotte	Joséphine-Charlotte	153190.6	170013.9	M	1	STOCKEL	POINT (153190.6 170013.9)
