Code_Ligne,Variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,geometry
012b,1,1,9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.0,176429.0,B,12,BRUSSELS CITY,POINT (157950 176429)
012b,1,2,3017,BOURGET,BOURGET,Bourget,Bourget,154334.0,174200.0,B,12,BRUSSELS CITY,POINT (154334 174200)
012b,1,3,5048,DA VINCI,DA VINCI,Da Vinci,Da Vinci,152934.0,173976.0,B,12,BRUSSELS CITY,POINT (152934 173976)
012b,1,4,2695,GENEVE,GENEVE,Genève,Genève,152428.0,172606.0,B,12,BRUSSELS CITY,POINT (152428 172606)
012b,1,5,2250,MEISER,MEISER,Meiser,Meiser,152045.0,171508.0,B,12,BRUSSELS CITY,POINT (152045 171508)
012b,1,6,1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.1,170304.7,B,12,BRUSSELS CITY,POINT (151061.1 170304.7)
012b,1,7,1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.0,169891.0,B,12,BRUSSELS CITY,POINT (150326 169891)
012b,1,8,6432,TRONE,TROON,Trône,Troon,149829.0,170014.0,B,12,BRUSSELS CITY,POINT (149829 170014)
012b,1,9,1780,TRONE,TROON,Trône,Troon,149724.6,170159.9,B,12,BRUSSELS CITY,POINT (149724.6 170159.9)
012b,2,1,1780,TRONE,TROON,Trône,Troon,149724.6,170159.9,B,12,BRUSSELS AIRPORT,POINT (149724.6 170159.9)
012b,2,2,6433,TRONE,TROON,Trône,Troon,149885.0,169988.0,B,12,BRUSSELS AIRPORT,POINT (149885 169988)
012b,2,3,1131B,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150347.0,169926.0,B,12,BRUSSELS AIRPORT,POINT (150347 169926)
012b,2,4,1418B,SCHUMAN,SCHUMAN,Schuman,Schuman,151072.3,170340.4,B,12,BRUSSELS AIRPORT,POINT (151072.3 170340.4)
012b,2,5,2247,MEISER,MEISER,Meiser,Meiser,152051.6,171509.4,B,12,BRUSSELS AIRPORT,POINT (152051.6 171509.4)
012b,2,6,4556,GENEVE,GENEVE,Genève,Genève,152431.0,172646.0,B,12,BRUSSELS AIRPORT,POINT (152431 172646)
012b,2,7,5044,DA VINCI,DA VINCI,Da Vinci,Da Vinci,153235.5,174050.2,B,12,BRUSSELS AIRPORT,POINT (153235.5 174050.2)
012b,2,8,3018,BOURGET,BOURGET,Bourget,Bourget,154386.0,174239.0,B,12,BRUSSELS AIRPORT,POINT (154386 174239)
012b,2,9,9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.0,176429.0,B,12,BRUSSELS AIRPORT,POINT (157950 176429)
013b,1,1,4111,ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.0,171854.0,B,13,UZ-VUB,POINT (147426 171854)
013b,1,2,1179,AUTRIQUE,AUTRIQUE,Autrique,Autrique,147286.0,172053.0,B,13,UZ-VUB,POINT (147286 172053)
013b,1,3,1180,VANHUFFEL,VANHUFFEL,Vanhuffel,Vanhuffel,147400.0,172233.0,B,13,UZ-VUB,POINT (147400 172233)
013b,1,4,1183,SIMONIS,SIMONIS,Simonis,Simonis,147319.0,172553.0,B,13,UZ-VUB,POINT (147319 172553)
013b,1,5,4152,PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147094.0,172791.0,B,13,UZ-VUB,POINT (147094 172791)
013b,1,6,1303,RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146648.0,172961.0,B,13,UZ-VUB,POINT (146648 172961)
013b,1,7,2422,DELHOVE,DELHOVE,Delhove,Delhove,146287.6,173191.6,B,13,UZ-VUB,POINT (146287.6 173191.6)
013b,1,8,4158,NEREUS,NEREUS,Nereus,Nereus,146083.0,173584.0,B,13,UZ-VUB,POINT (146083 173584)
013b,1,9,4163,LOWET,LOWET,Lowet,Lowet,145878.0,173765.0,B,13,UZ-VUB,POINT (145878 173765)
013b,1,10,1710,CPAS GANSHOREN,OCMW GANSHOREN,CPAS Ganshoren,OCMW Ganshoren,146115.4,173853.0,B,13,UZ-VUB,POINT (146115.4 173853)
013b,1,11,9103,SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146419.0,173987.0,B,13,UZ-VUB,POINT (146419 173987)
013b,1,12,1065,LE ROUX,LE ROUX,Le Roux,Le Roux,146695.0,174311.0,B,13,UZ-VUB,POINT (146695 174311)
013b,1,13,1066,EUGENE TOUSSAINT,EUGENE TOUSSAINT,Eugène Toussaint,Eugène Toussaint,146699.0,174537.0,B,13,UZ-VUB,POINT (146699 174537)
013b,1,14,1067,RENIERS,RENIERS,Reniers,Reniers,146717.0,174718.0,B,13,UZ-VUB,POINT (146717 174718)
013b,1,15,1711,BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146736.7,175023.8,B,13,UZ-VUB,POINT (146736.7 175023.8)
013b,1,16,1599,DIELEGHEM,DIELEGEM,Dieleghem,Dielegem,146523.0,175301.0,B,13,UZ-VUB,POINT (146523 175301)
013b,1,17,2850,AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146272.0,175504.0,B,13,UZ-VUB,POINT (146272 175504)
013b,1,18,1328,ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.5,175835.0,B,13,UZ-VUB,POINT (146058.5 175835)
013b,1,19,1721,UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.7,175505.8,B,13,UZ-VUB,POINT (145809.7 175505.8)
013b,1,20,1722,UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.0,175117.0,B,13,UZ-VUB,POINT (145942 175117)
013b,1,21,1727,UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145769.0,175067.0,B,13,UZ-VUB,POINT (145769 175067)
013b,2,1,1732,UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145792.0,175041.0,B,13,ETANGS NOIRS,POINT (145792 175041)
013b,2,2,1743,UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145968.0,175154.0,B,13,ETANGS NOIRS,POINT (145968 175154)
013b,2,3,1744,UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145824.1,175484.2,B,13,ETANGS NOIRS,POINT (145824.1 175484.2)
013b,2,4,1334,ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146148.5,175809.4,B,13,ETANGS NOIRS,POINT (146148.5 175809.4)
013b,2,5,2849,AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146342.3,175481.8,B,13,ETANGS NOIRS,POINT (146342.3 175481.8)
013b,2,6,1606,DIELEGHEM,DIELEGEM,Dieleghem,Dielegem,146502.1,175311.4,B,13,ETANGS NOIRS,POINT (146502.1 175311.4)
013b,2,7,1746,BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146725.0,174922.0,B,13,ETANGS NOIRS,POINT (146725 174922)
013b,2,8,1008,RENIERS,RENIERS,Reniers,Reniers,146710.0,174701.0,B,13,ETANGS NOIRS,POINT (146710 174701)
013b,2,9,1009,EUGENE TOUSSAINT,EUGENE TOUSSAINT,Eugène Toussaint,Eugène Toussaint,146695.0,174521.0,B,13,ETANGS NOIRS,POINT (146695 174521)
013b,2,10,1010,LE ROUX,LE ROUX,Le Roux,Le Roux,146668.0,174212.0,B,13,ETANGS NOIRS,POINT (146668 174212)
013b,2,11,1747,SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146465.8,173923.2,B,13,ETANGS NOIRS,POINT (146465.8 173923.2)
013b,2,12,1748,CPAS GANSHOREN,OCMW GANSHOREN,CPAS Ganshoren,OCMW Ganshoren,146077.0,173860.0,B,13,ETANGS NOIRS,POINT (146077 173860)
013b,2,13,4112,LOWET,LOWET,Lowet,Lowet,145887.0,173739.0,B,13,ETANGS NOIRS,POINT (145887 173739)
013b,2,14,4105,NEREUS,NEREUS,Nereus,Nereus,146084.0,173563.2,B,13,ETANGS NOIRS,POINT (146084 173563.2)
013b,2,15,2423,DELHOVE,DELHOVE,Delhove,Delhove,146267.3,173188.6,B,13,ETANGS NOIRS,POINT (146267.3 173188.6)
013b,2,16,2519,RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146573.0,172989.0,B,13,ETANGS NOIRS,POINT (146573 172989)
013b,2,17,4116,PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147155.0,172744.0,B,13,ETANGS NOIRS,POINT (147155 172744)
013b,2,18,1112,SIMONIS,SIMONIS,Simonis,Simonis,147325.0,172509.0,B,13,ETANGS NOIRS,POINT (147325 172509)
013b,2,19,1114B,VANHUFFEL,VANHUFFEL,Vanhuffel,Vanhuffel,147387.0,172228.0,B,13,ETANGS NOIRS,POINT (147387 172228)
013b,2,20,1115,AUTRIQUE,AUTRIQUE,Autrique,Autrique,147277.0,172043.0,B,13,ETANGS NOIRS,POINT (147277 172043)
013b,2,21,4111,ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.0,171854.0,B,13,ETANGS NOIRS,POINT (147426 171854)
014b,1,1,4264B,HEYSEL,HEIZEL,Heysel,Heizel,147732.0,176276.0,B,14,GARE DU NORD,POINT (147732 176276)
014b,1,2,6481,ROI BAUDOUIN,KONING BOUDEWIJN,Roi Baudouin,Koning Boudewijn,147253.0,176278.0,B,14,GARE DU NORD,POINT (147253 176278)
014b,1,3,4228,AMETHYSTE,AMETHIST,Améthyste,Amethist,147064.0,176172.0,B,14,GARE DU NORD,POINT (147064 176172)
014b,1,4,4205B,PALFIJN,PALFIJN,Palfijn,Palfijn,146936.8,175965.7,B,14,GARE DU NORD,POINT (146936.8 175965.7)
014b,1,5,4223,DE HEYN,DE HEYN,De Heyn,De Heyn,146531.0,175910.0,B,14,GARE DU NORD,POINT (146531 175910)
014b,1,6,1328,ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.5,175835.0,B,14,GARE DU NORD,POINT (146058.5 175835)
014b,1,7,1721,UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.7,175505.8,B,14,GARE DU NORD,POINT (145809.7 175505.8)
014b,1,8,1722,UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.0,175117.0,B,14,GARE DU NORD,POINT (145942 175117)
014b,1,9,1368,ANCIENNE BARRIERE,OUDE AFSPANNING,Ancienne Barrière,Oude Afspanning,146475.0,174971.0,B,14,GARE DU NORD,POINT (146475 174971)
014b,1,10,1768,BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146761.3,174954.8,B,14,GARE DU NORD,POINT (146761.3 174954.8)
014b,1,11,2801,CROCQ,CROCQ,Crocq,Crocq,147244.0,174951.0,B,14,GARE DU NORD,POINT (147244 174951)
014b,1,12,2803,LORGE,LORGE,Lorge,Lorge,147335.0,174722.0,B,14,GARE DU NORD,POINT (147335 174722)
014b,1,13,6800,GARE DE JETTE,STATION JETTE,Gare de Jette,Station Jette,147279.0,174430.0,B,14,GARE DU NORD,POINT (147279 174430)
014b,1,14,2584,DEMINEURS,ONTMIJNERS,Démineurs,Ontmijners,147451.3,174255.3,B,14,GARE DU NORD,POINT (147451.3 174255.3)
014b,1,15,2586,VERBEYST,VERBEYST,Verbeyst,Verbeyst,147310.0,174008.0,B,14,GARE DU NORD,POINT (147310 174008)
014b,1,16,1775,LEOPOLD I,LEOPOLD I,Léopold I,Leopold I,147164.6,173633.6,B,14,GARE DU NORD,POINT (147164.6 173633.6)
014b,1,17,1782,FIRMIN LECHARLIER,FIRMIN LECHARLIER,Firmin Lecharlier,Firmin Lecharlier,147284.5,173401.0,B,14,GARE DU NORD,POINT (147284.5 173401)
014b,1,18,5009,BELGICA,BELGICA,Belgica,Belgica,147699.0,173011.0,B,14,GARE DU NORD,POINT (147699 173011)
014b,1,19,5011,VANDERSTICHELEN,VANDERSTICHELEN,Vanderstichelen,Vanderstichelen,147893.0,172841.0,B,14,GARE DU NORD,POINT (147893 172841)
014b,1,20,1019,PICARD,PICARD,Picard,Picard,148266.0,172631.0,B,14,GARE DU NORD,POINT (148266 172631)
014b,1,21,1351,AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148620.4,172547.0,B,14,GARE DU NORD,POINT (148620.4 172547)
014b,1,22,1349,TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148758.0,172745.0,B,14,GARE DU NORD,POINT (148758 172745)
014b,1,23,1016,WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148947.0,172547.0,B,14,GARE DU NORD,POINT (148947 172547)
014b,1,24,1024,WTC,WTC,WTC,WTC,149057.0,172310.0,B,14,GARE DU NORD,POINT (149057 172310)
014b,1,25,1083,GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149306.0,172222.0,B,14,GARE DU NORD,POINT (149306 172222)
014b,2,1,1082,GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149268.0,172281.0,B,14,HEYSEL,POINT (149268 172281)
014b,2,2,1052,WTC,WTC,WTC,WTC,149071.0,172349.0,B,14,HEYSEL,POINT (149071 172349)
014b,2,3,1051,WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148964.0,172548.0,B,14,HEYSEL,POINT (148964 172548)
014b,2,4,1348,TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148696.7,172731.9,B,14,HEYSEL,POINT (148696.7 172731.9)
014b,2,5,1350,AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148590.0,172515.0,B,14,HEYSEL,POINT (148590 172515)
014b,2,6,1056,PICARD,PICARD,Picard,Picard,148198.7,172675.1,B,14,HEYSEL,POINT (148198.7 172675.1)
